item_id,client_id,created_at,name,gender,dob,email,phone,channel,first_contact,lat,lon,location_name,created_at_client,item_name,price,category,image_url,inventory
10001,100000127,2020-09-06 16:03:41.236993,Pralhad Biskiwakarma,Male,2002-05-25,pralhad.biskiwakarma@fakeemail.com,9841968059,Word of Mouth,app,27.712,85.322,Hattisar Sadak,2020-09-06 04:41:23.065429,"VivoBook 14 X415JA (14” FHD, Intel i7-1065G7, Intel UHD, 8GB, 512GB SSD)",115000,Laptop,"https://dummyimage.com/600x400/000/fff&text=VivoBook+14+X415JA+(14”+FHD,+Intel+i7-1065G7,+Intel+UHD,+8GB,+512GB+SSD)",39
10001,100000262,2021-03-03 04:08:21.342722,Prazol Harlalka,Male,1999-08-22,prazol.harlalka@fakeemail.com,9841213863,Word of Mouth,app,27.7415,85.3127,G4 Futsal,2020-09-13 21:25:24.950483,"VivoBook 14 X415JA (14” FHD, Intel i7-1065G7, Intel UHD, 8GB, 512GB SSD)",115000,Laptop,"https://dummyimage.com/600x400/000/fff&text=VivoBook+14+X415JA+(14”+FHD,+Intel+i7-1065G7,+Intel+UHD,+8GB,+512GB+SSD)",39
10001,100000901,2020-11-03 06:43:52.725155,Pramod Shapakota,Male,1979-09-14,pramod.shapakota@fakeemail.com,9841852187,Google Search,browser,27.7244,85.322,Lazimpat Rd 1079,2020-10-09 13:10:51.153269,"VivoBook 14 X415JA (14” FHD, Intel i7-1065G7, Intel UHD, 8GB, 512GB SSD)",115000,Laptop,"https://dummyimage.com/600x400/000/fff&text=VivoBook+14+X415JA+(14”+FHD,+Intel+i7-1065G7,+Intel+UHD,+8GB,+512GB+SSD)",39
10001,100002190,2020-11-25 08:56:35.801396,Samita Panjiyar,Female,1987-10-20,samita.panjiyar@fakeemail.com,9841003522,Word of Mouth,browser,27.7057,85.3337,Maiti Devi Marg,2020-11-20 05:14:59.540079,"VivoBook 14 X415JA (14” FHD, Intel i7-1065G7, Intel UHD, 8GB, 512GB SSD)",115000,Laptop,"https://dummyimage.com/600x400/000/fff&text=VivoBook+14+X415JA+(14”+FHD,+Intel+i7-1065G7,+Intel+UHD,+8GB,+512GB+SSD)",39
10001,100002773,2021-04-29 08:08:06.426326,Kusum Katiwada,Female,2003-03-01,kusum.katiwada@fakeemail.com,9841201400,Google Search,browser,27.7224,85.3101,Rayamajhi Marga,2020-12-07 01:10:09.243962,"VivoBook 14 X415JA (14” FHD, Intel i7-1065G7, Intel UHD, 8GB, 512GB SSD)",115000,Laptop,"https://dummyimage.com/600x400/000/fff&text=VivoBook+14+X415JA+(14”+FHD,+Intel+i7-1065G7,+Intel+UHD,+8GB,+512GB+SSD)",39
10001,100003281,2021-07-09 19:07:14.202556,Srijan Kathyat,Male,1999-11-13,srijan.kathyat@fakeemail.com,9841883710,Other,browser,27.6856,85.312,Summit Hotel,2020-12-21 12:46:16.143648,"VivoBook 14 X415JA (14” FHD, Intel i7-1065G7, Intel UHD, 8GB, 512GB SSD)",115000,Laptop,"https://dummyimage.com/600x400/000/fff&text=VivoBook+14+X415JA+(14”+FHD,+Intel+i7-1065G7,+Intel+UHD,+8GB,+512GB+SSD)",39
10001,100003772,2020-12-31 17:13:21.953321,Shubhu Kahtakho,Female,2003-10-13,shubhu.kahtakho@fakeemail.com,9841763249,Facebook/Ads,browser,27.6941,85.3031,Bhansar Marg,2020-12-31 09:37:14.113929,"VivoBook 14 X415JA (14” FHD, Intel i7-1065G7, Intel UHD, 8GB, 512GB SSD)",115000,Laptop,"https://dummyimage.com/600x400/000/fff&text=VivoBook+14+X415JA+(14”+FHD,+Intel+i7-1065G7,+Intel+UHD,+8GB,+512GB+SSD)",39
10001,100004059,2021-01-09 06:48:10.544859,Samixya Huju,Female,2008-09-22,samixya.huju@fakeemail.com,9841402012,Facebook/Ads,browser,27.7138,85.3151,Greenline Tours Travels,2021-01-09 04:03:33.224023,"VivoBook 14 X415JA (14” FHD, Intel i7-1065G7, Intel UHD, 8GB, 512GB SSD)",115000,Laptop,"https://dummyimage.com/600x400/000/fff&text=VivoBook+14+X415JA+(14”+FHD,+Intel+i7-1065G7,+Intel+UHD,+8GB,+512GB+SSD)",39
10001,100005685,2021-03-22 04:35:46.797683,Palisha Udas,Female,2005-04-17,palisha.udas@fakeemail.com,9841497053,Google Search,browser,27.7058,85.3281,Radhe Marg,2021-02-16 13:03:14.249401,"VivoBook 14 X415JA (14” FHD, Intel i7-1065G7, Intel UHD, 8GB, 512GB SSD)",115000,Laptop,"https://dummyimage.com/600x400/000/fff&text=VivoBook+14+X415JA+(14”+FHD,+Intel+i7-1065G7,+Intel+UHD,+8GB,+512GB+SSD)",39
10001,100007106,2021-03-26 22:33:10.961903,Anish Bhansi,Other,1999-12-02,anish.bhansi@fakeemail.com,9841560789,Facebook/Ads,browser,27.7279,85.3189,Triveni Marg,2021-03-18 15:17:10.508830,"VivoBook 14 X415JA (14” FHD, Intel i7-1065G7, Intel UHD, 8GB, 512GB SSD)",115000,Laptop,"https://dummyimage.com/600x400/000/fff&text=VivoBook+14+X415JA+(14”+FHD,+Intel+i7-1065G7,+Intel+UHD,+8GB,+512GB+SSD)",39
